title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Data Entry Clerk,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,$56K-$125K,0 to 14 Years,Pretoria,South Africa,Temporary,Downer Group,2022-02-25,communication,1,2,Marketing & Architecture,4,Network & Security
Mechanical Designer,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem-solving Attention to detail Communication skills,$62K-$86K,4 to 15 Years,Amman,Jordan,Temporary,Intuit,2021-11-08,"collaboration, communication, problem solving, compliance",4,2,Marketing & Architecture,0,Engineering & Systems
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$65K-$126K,4 to 9 Years,Hagatna,Guam,Part-Time,Midea Group,2021-12-17,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Inventory Analyst,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,$62K-$125K,2 to 9 Years,Berlin,Germany,Part-Time,"The Vanguard Group, Inc.",2022-02-06,problem solving,1,2,Marketing & Architecture,4,Network & Security
Database Developer,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",$65K-$83K,5 to 15 Years,Bangkok,Thailand,Full-Time,AutoZone,2022-10-05,"database, data modeling, cassandra, mongodb, nosql",5,5,Database & Systems,4,Network & Security
Network Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,$56K-$112K,3 to 15 Years,Papeete,French Polynesia,Part-Time,Goodman Group,2022-11-13,"penetration testing, firewall, network security, vulnerability, security, incident response",6,4,Network & Security,4,Network & Security
Web Developer,"Full-Stack Developers are skilled in both frontend and backend development. They can work on all aspects of web application development, from creating user interfaces to designing databases and server infrastructure, providing end-to-end solutions.",Frontend and backend development Database integration Problem-solving API knowledge,$62K-$112K,0 to 13 Years,Antananarivo,Madagascar,Full-Time,Occidental Petroleum,2023-06-07,"frontend, backend, user interface, infrastructure, database, full stack, problem solving",7,1,Software Development,2,Application Development
Research Analyst,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail",$63K-$123K,0 to 13 Years,Funafuti,Tuvalu,Part-Time,Xcel Energy,2022-09-22,"communication, critical thinking, python, tableau, data visualization, data analysis, problem solving",7,3,Data & Analytics,1,Data & Business Analytics
UI Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",$57K-$106K,5 to 14 Years,Hanoi,Vietnam,Intern,Farmers Insurance Exchange,2021-11-17,"user interface, html, javascript, web development",4,0,Design & UI/UX,2,Application Development
Software Architect,"A Cloud Architect designs and manages cloud-based solutions, optimizing scalability, security, and performance while aligning them with the companys technology strategy.","Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)",$64K-$85K,3 to 9 Years,Harare,Zimbabwe,Contract,China National Chemical Corporation (ChemChina),2023-07-13,"aws, docker, azure, cloud, security, kubernetes",6,2,Marketing & Architecture,4,Network & Security
Web Developer,"Backend Web Developers build and maintain the server-side logic and infrastructure required for web applications. They work on data storage, APIs, and server communication to support the functionality of web applications.","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",$55K-$96K,0 to 12 Years,Nur-Sultan,Kazakhstan,Part-Time,AbbVie,2023-01-09,"communication, backend, infrastructure, database, sql, mongodb, python, node",8,1,Software Development,2,Application Development
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,$60K-$90K,0 to 15 Years,Nuku?alofa,Tonga,Full-Time,Auto Trader Group,2022-12-05,,0,2,Marketing & Architecture,5,Testing & Performance
Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,$55K-$98K,0 to 14 Years,Manila,Philippines,Temporary,American Express,2023-01-03,"compliance, project management",2,2,Marketing & Architecture,0,Engineering & Systems
Landscape Architect,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,$57K-$111K,3 to 15 Years,Kabul,Afghanistan,Part-Time,Spotify Technology S.A.,2023-05-07,,0,2,Marketing & Architecture,3,UI/UX Design
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$58K-$84K,2 to 8 Years,Road Town,British Virgin Islands,Intern,Pioneer Natural Resources,2023-01-02,analytics,1,2,Marketing & Architecture,0,Engineering & Systems
Quality Assurance Analyst,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management",$63K-$99K,3 to 15 Years,Dushanbe,Tajikistan,Full-Time,Huntsman,2021-10-18,"python, java",2,2,Marketing & Architecture,5,Testing & Performance
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$57K-$128K,4 to 9 Years,Tirana,Albania,Temporary,Exxon Mobil,2021-11-19,,0,2,Marketing & Architecture,3,UI/UX Design
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",$57K-$125K,0 to 11 Years,Palikir,"Micronesia, Fed. Sts.",Temporary,Whirlpool,2021-10-17,"reporting, stakeholder, database, sql, data modeling, business intelligence, analytical, tableau, data visualization, data analysis, problem solving",11,3,Data & Analytics,1,Data & Business Analytics
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$63K-$109K,0 to 9 Years,Sanaa,Yemen,Part-Time,Motorola Solutions,2021-12-17,,0,2,Marketing & Architecture,2,Application Development
IT Administrator,"System Administrators manage and maintain computer systems and networks. They handle software installations, security measures, and troubleshooting to ensure system reliability.",System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery,$58K-$114K,4 to 15 Years,"Malabo (de jure),",Equatorial Guinea,Part-Time,Segro,2023-03-12,"security, network administration, system administration",3,4,Network & Security,4,Network & Security
Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills",$60K-$104K,3 to 9 Years,Mexico City,Mexico,Intern,Continental AG,2023-06-03,"gcp, aws, docker, infrastructure, devops, azure, bash, collaboration, cloud, terraform, kubernetes, python, ansible",13,2,Marketing & Architecture,3,UI/UX Design
Systems Analyst,"An IT Analyst assesses and analyzes IT systems, identifying areas for improvement, implementing technology solutions, and providing technical support to users and departments.",IT systems analysis Troubleshooting IT support and documentation,$63K-$117K,0 to 13 Years,Ulaanbaatar,Mongolia,Intern,Molson Coors Beverage,2022-02-22,documentation,1,2,Marketing & Architecture,4,Network & Security
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$65K-$99K,0 to 13 Years,Banjul,Gambia,Full-Time,CarMax,2022-03-21,,0,2,Marketing & Architecture,3,UI/UX Design
Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",$65K-$84K,1 to 8 Years,Saint George's,Grenada,Part-Time,Disney+,2022-12-08,"spark, hadoop, big data",3,3,Data & Analytics,1,Data & Business Analytics
Environmental Engineer,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,$60K-$86K,0 to 13 Years,Moroni,Comoros,Intern,Melrose Industries,2022-03-24,,0,2,Marketing & Architecture,1,Data & Business Analytics
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",$55K-$123K,5 to 15 Years,Tarawa,Kiribati,Intern,Altice USA,2022-11-09,"python, java",2,1,Software Development,5,Testing & Performance
Software Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",$61K-$126K,3 to 15 Years,Wellington,New Zealand,Temporary,Skechers U.S.A.,2022-01-23,"swift, mobile, app development, java, flutter, react, react native, kotlin",8,0,Design & UI/UX,2,Application Development
Chemical Engineer,"Conduct research, design experiments, and develop innovative products or technologies in various industries.",Research and development processes Product innovation Prototype development Testing and experimentation Data analysis Collaboration with cross-functional teams Problem-solving Attention to detail Technical expertise Project management skills,$63K-$99K,3 to 10 Years,Male,Maldives,Full-Time,China Unicom,2022-06-13,"collaboration, data analysis, problem solving, project management",4,2,Marketing & Architecture,0,Engineering & Systems
Database Administrator,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",$60K-$98K,2 to 10 Years,Kabul,Afghanistan,Temporary,London Stock Exchange Group,2023-04-02,"database, sql, data modeling, java, security, python",6,5,Database & Systems,4,Network & Security
Network Technician,"Network Support Specialists provide technical support for computer networks. They troubleshoot issues, maintain network infrastructure, and ensure reliable network performance.",Network troubleshooting IT support Network configuration Technical knowledge Problem-solving,$59K-$116K,2 to 12 Years,Cairo,Egypt,Temporary,Kotak Mahindra Bank,2022-03-25,"infrastructure, problem solving",2,4,Network & Security,4,Network & Security
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,$55K-$109K,2 to 9 Years,Brussels,Belgium,Part-Time,United Natural Foods,2023-02-19,data analysis,1,3,Data & Analytics,1,Data & Business Analytics
Digital Marketing Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",$55K-$83K,3 to 12 Years,Conakry,Guinea,Part-Time,Rentokil Initial,2022-11-19,analytics,1,2,Marketing & Architecture,3,UI/UX Design
Java Developer,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills",$55K-$123K,2 to 14 Years,Yaounde,Cameroon,Temporary,Union Pacific,2022-06-08,"spring, problem solving, java",3,1,Software Development,2,Application Development
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge,$56K-$101K,3 to 9 Years,Port Vila,Vanuatu,Temporary,Marriott International,2022-12-12,"analytics, communication, reporting, problem solving",4,2,Marketing & Architecture,5,Testing & Performance
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$55K-$100K,4 to 11 Years,San Jose,Costa Rica,Contract,Advance Auto Parts,2021-11-06,,0,2,Marketing & Architecture,3,UI/UX Design
Technical Writer,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",Document management Recordkeeping Attention to detail Data entry Organizational skills,$64K-$104K,2 to 10 Years,Kathmandu,Nepal,Temporary,Ameriprise Financial,2023-07-14,documentation,1,2,Marketing & Architecture,2,Application Development
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",$61K-$95K,5 to 8 Years,Dushanbe,Tajikistan,Temporary,Genuine Parts,2023-03-08,"creativity, adobe, illustrator",3,0,Design & UI/UX,3,UI/UX Design
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",$58K-$125K,2 to 9 Years,City of Port Louis,Mauritius,Part-Time,Cipla,2022-07-05,"frontend, javascript, user interface, git, vue, angular, react, html",8,0,Design & UI/UX,3,UI/UX Design
Mechanical Designer,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),$62K-$130K,0 to 11 Years,Tallinn,Estonia,Contract,Raymond James Financial,2021-10-05,"collaboration, communication, problem solving",3,2,Marketing & Architecture,0,Engineering & Systems
Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,$58K-$109K,1 to 11 Years,Harare,Zimbabwe,Temporary,Havells India,2022-09-25,"communication, data analysis",2,2,Marketing & Architecture,1,Data & Business Analytics
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",$56K-$97K,0 to 12 Years,Seoul,"Korea, Rep.",Part-Time,Air Products & Chemicals,2022-02-17,"reporting, python",2,2,Marketing & Architecture,3,UI/UX Design
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$55K-$106K,4 to 11 Years,Ottawa,Canada,Intern,Adobe,2023-03-22,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
Java Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",$59K-$107K,2 to 10 Years,Warsaw,Poland,Intern,Sanmina,2022-05-11,"git, database, java, backend",4,1,Software Development,2,Application Development
Electrical Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,$57K-$84K,2 to 8 Years,Port Vila,Vanuatu,Part-Time,China Mobile,2023-07-31,,0,2,Marketing & Architecture,0,Engineering & Systems
Database Administrator,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making.",Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,$65K-$98K,0 to 8 Years,Gaborone,Botswana,Temporary,Bank of China,2023-07-26,"reporting, database, sql, data visualization, data analysis",5,3,Data & Analytics,1,Data & Business Analytics
Architectural Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",$57K-$102K,0 to 12 Years,Hagatna,Guam,Part-Time,Occidental Petroleum,2023-05-21,"collaboration, budget management",2,0,Design & UI/UX,3,UI/UX Design
Systems Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",$55K-$97K,0 to 14 Years,Mogadishu,Somalia,Full-Time,Humana,2022-03-21,"database, sql, oracle, mysql, security",5,5,Database & Systems,4,Network & Security
Environmental Engineer,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.",Environmental assessments Regulatory compliance Environmental impact analysis,$59K-$106K,5 to 8 Years,Torshavn,Faroe Islands,Contract,Royal Dutch Shell,2022-06-17,compliance,1,2,Marketing & Architecture,3,UI/UX Design
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$65K-$96K,2 to 15 Years,Nairobi,Kenya,Part-Time,Viatris,2023-06-26,,0,2,Marketing & Architecture,2,Application Development
Chemical Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.",Process optimization Manufacturing processes Lean Six Sigma methodologies Data analysis Statistical process control Quality management Root cause analysis Collaboration Problem-solving Attention to detail Technical knowledge,$58K-$98K,1 to 12 Years,Macao,"Macao SAR, China",Contract,PetroChina,2022-05-27,"collaboration, data analysis, problem solving",3,2,Marketing & Architecture,3,UI/UX Design
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$65K-$103K,2 to 10 Years,Seoul,North Korea,Full-Time,Bajaj Finance,2021-10-08,"wireframing, sketch, prototyping, user research, adobe",5,0,Design & UI/UX,5,Testing & Performance
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$56K-$127K,5 to 8 Years,Vientiane,Lao PDR,Full-Time,China Southern Airlines,2022-05-13,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Java Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation",$56K-$114K,5 to 8 Years,Seoul,North Korea,Full-Time,Metro AG,2023-05-27,"frontend, backend, user interface, documentation, java, security",6,1,Software Development,2,Application Development
Investment Analyst,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,$61K-$83K,1 to 12 Years,Torshavn,Faroe Islands,Part-Time,EnLink Midstream,2022-11-12,,0,3,Data & Analytics,1,Data & Business Analytics
Java Developer,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills",$61K-$89K,5 to 12 Years,Tallinn,Estonia,Full-Time,China National Chemical Corporation (ChemChina),2023-02-19,"spring, problem solving, java",3,1,Software Development,2,Application Development
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$58K-$88K,0 to 13 Years,Tegucigalpa,Honduras,Full-Time,Hikma Pharmaceuticals,2022-06-07,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Landscape Architect,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,$61K-$115K,2 to 9 Years,Algiers,Algeria,Contract,Huntington Ingalls Industries,2023-09-12,,0,2,Marketing & Architecture,3,UI/UX Design
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",$62K-$80K,4 to 13 Years,Philipsburg,Sint Maarten (Dutch part),Full-Time,Sydney Airport Holdings,2022-12-10,"reporting, stakeholder, database, sql, data modeling, business intelligence, analytical, tableau, data visualization, data analysis, problem solving",11,3,Data & Analytics,1,Data & Business Analytics
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$60K-$102K,2 to 14 Years,Tunis,Tunisia,Part-Time,RWE AG,2021-11-13,"reporting, regression",2,2,Marketing & Architecture,3,UI/UX Design
Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,$55K-$99K,1 to 15 Years,Apia,American Samoa,Temporary,American Tower,2022-10-23,,0,2,Marketing & Architecture,2,Application Development
Data Entry Clerk,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,$63K-$97K,0 to 15 Years,Road Town,British Virgin Islands,Part-Time,Rank Group,2023-05-11,communication,1,2,Marketing & Architecture,4,Network & Security
Data Analyst,"Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.","Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy",$61K-$119K,4 to 12 Years,Vientiane,Lao PDR,Part-Time,London Stock Exchange Group,2022-07-14,"data analysis, sql",2,5,Database & Systems,1,Data & Business Analytics
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$59K-$100K,0 to 12 Years,Damascus,Syrian Arab Republic,Full-Time,Airbnb,2022-08-27,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,$60K-$101K,2 to 11 Years,Kinshasa,Democratic Republic Of Congo,Temporary,Western Digital,2022-05-18,"figma, wireframing, user interface, user experience, sketch, prototyping",6,0,Design & UI/UX,3,UI/UX Design
Electrical Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,$57K-$110K,2 to 15 Years,Suva,Fiji,Intern,Exxon Mobil,2022-10-01,,0,2,Marketing & Architecture,0,Engineering & Systems
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$64K-$95K,2 to 13 Years,Skopje,"Macedonia, FYR",Part-Time,Paramount Global,2023-01-17,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",$61K-$100K,4 to 10 Years,Zagreb,Croatia,Contract,Citizens Financial Group,2023-06-18,"frontend, backend, javascript, user interface, angular, react, html",7,0,Design & UI/UX,3,UI/UX Design
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$63K-$116K,2 to 9 Years,Panama City,Panama,Contract,Erie Insurance Group,2021-11-11,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$65K-$100K,3 to 12 Years,Kuala Lumpur,Malaysia,Part-Time,Carvana,2022-02-10,,0,2,Marketing & Architecture,3,UI/UX Design
Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",$61K-$91K,3 to 9 Years,Havana,Cuba,Part-Time,Dell Technologies,2021-10-04,"frontend, backend, javascript, user interface, angular, react, html",7,0,Design & UI/UX,3,UI/UX Design
Systems Engineer,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.",Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,$58K-$101K,0 to 11 Years,Nicosia,Cyprus,Intern,Freddie Mac,2022-02-07,,0,2,Marketing & Architecture,2,Application Development
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$56K-$103K,5 to 12 Years,Willemstad,Curacao,Part-Time,Fortune Brands Innovations,2023-09-02,"reporting, regression",2,2,Marketing & Architecture,3,UI/UX Design
