title,description,skills,salary,experience,qualification,location,country,work_type,company,date_posted,role,description_clean,skills_clean,title_clean,extracted_skills,desc_skills,all_skills,skill_count,all_skills_str
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$59K-$115K,0 to 15 Years,MBA,Quito,Ecuador,Temporary,Williams-Sonoma,2023-04-30,Interaction Designer,interaction designer specialize designing user interaction within digital interface create meaningful engaging user experience considering user behavior system response,interaction design principle user behavior psychology wireframing prototyping tool animation micro interaction design collaborative design process,ux/ui designer,"['prototyping', 'wireframing']",['user experience'],"['prototyping', 'wireframing', 'user experience']",3,"prototyping, wireframing, user experience"
QA Engineer,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,$58K-$94K,0 to 8 Years,M.Com,San Jose,Costa Rica,Full-Time,Petrofac,2023-07-13,QA Manager,manager responsible leading managing quality assurance ensure product quality develop implement process maintain quality standard,quality assurance process improvement leadership problem solving quality control,qa engineer,"['leadership', 'problem solving']",[],"['leadership', 'problem solving']",2,"leadership, problem solving"
Electrical Designer,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.",PCB design Electronics PCB layout software proficiency Circuit design Quality control,$62K-$108K,4 to 8 Years,B.Com,Dushanbe,Tajikistan,Temporary,Leidos Holdings,2023-08-03,PCB Designer,pcb designer specialize designing printed circuit board pcbs create pcb layout ensure proper connectivity consider electrical mechanical,pcb design electronics pcb layout software proficiency circuit design quality control,electrical designer,[],[],[],0,
Research Analyst,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail",$59K-$86K,3 to 13 Years,M.Com,Conakry,Guinea,Part-Time,Unum Group,2021-10-03,Data Analyst Researcher,data analyst researcher conduct research analysis using data support academic scientific inquiry contribute research project publish finding,data analysis technique research methodology data collection interpretation statistical analysis software python data visualization tool tableau power research report writing critical thinking problem solving communication skill attention detail,research analyst,"['communication', 'critical thinking', 'tableau', 'problem solving', 'data visualization', 'data analysis', 'python']",[],"['communication', 'critical thinking', 'python', 'tableau', 'data visualization', 'data analysis', 'problem solving']",7,"communication, critical thinking, python, tableau, data visualization, data analysis, problem solving"
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$57K-$118K,2 to 15 Years,M.Com,Vientiane,Lao PDR,Full-Time,Norfolk Southern,2023-05-14,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Financial Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.",Budget planning Financial forecasting Excel proficiency Data analysis,$64K-$112K,4 to 15 Years,M.Com,ReykjavÃ­k,Iceland,Full-Time,Jones Financial (Edward Jones),2022-03-17,Budget Analyst,budget analyst manage analyze financial data develop monitor report budget work department ensure budget compliance identify cost saving opportunity provide financial insight support strategic planning decision making,budget planning financial forecasting excel proficiency data analysis,financial analyst,"['excel', 'data analysis']",['compliance'],"['excel', 'data analysis', 'compliance']",3,"excel, data analysis, compliance"
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$59K-$122K,0 to 9 Years,B.Com,Tirana,Albania,Full-Time,Unum Group,2023-06-17,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Structural Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,$57K-$117K,1 to 11 Years,B.Tech,Conakry,Guinea,Part-Time,Activision Blizzard,2022-07-02,Design Engineer,design engineer creates develops product design specification using engineering principle design software bring innovative product market,engineering design cad software proficiency problem solving technical communication skill,structural engineer,"['communication', 'problem solving']",[],"['communication', 'problem solving']",2,"communication, problem solving"
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,$63K-$128K,0 to 10 Years,M.Com,Canberra,Australia,Contract,Exxon Mobil,2023-04-28,Investment Analyst,investment analyst analyze financial data market trend make informed investment recommendation research assess investment opportunity create financial model provide insight guide investment decision portfolio management,financial analysis investment evaluation portfolio management data analysis,financial analyst,['data analysis'],[],['data analysis'],1,data analysis
Civil Engineer,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,$63K-$129K,0 to 8 Years,M.Com,Castries,St. Lucia,Full-Time,Shree Cement,2023-02-01,Water Resources Engineer,water resource engineer manages develops water related project dam irrigation system flood control measure ensure water resource sustainability,water resource engineering hydrology hydraulics environmental impact assessment water resource modeling software watershed management,civil engineer,[],[],[],0,
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$60K-$90K,4 to 15 Years,M.Tech,Nairobi,Kenya,Contract,Ping An Insurance,2023-06-28,User Interface Designer,user interface designer focus visual interactive aspect digital interface design layout button element ensure cohesive visually appealing user interface,design principle best practice graphic design tool adobe photoshop illustrator typography color theory visual design layout responsive design,ux/ui designer,"['illustrator', 'graphic design', 'adobe', 'photoshop']",['user interface'],"['graphic design', 'user interface', 'photoshop', 'adobe', 'illustrator']",5,"graphic design, user interface, photoshop, adobe, illustrator"
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$63K-$90K,3 to 9 Years,PhD,Basseterre,St. Kitts and Nevis,Contract,American Express,2023-05-10,Quality Assurance Analyst,quality assurance analyst test software product ensure meet quality standard identify defect report issue work development team resolve problem,quality assurance process testing methodology manual automated bug tracking reporting test case development regression testing,software tester,"['reporting', 'regression']",[],"['reporting', 'regression']",2,"reporting, regression"
Landscape Designer,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,$56K-$99K,0 to 9 Years,BCA,Macao,"Macao SAR, China",Full-Time,Scottish Mortgage Investment Trust,2021-12-30,Commercial Landscape Architect,commercial landscape architect design outdoor space commercial property office complex retail center create functional aesthetically pleasing landscape align client goal need,landscape architecture site planning plant selection environmental sustainability autocad project management,landscape designer,['project management'],[],['project management'],1,project management
Systems Analyst,"An IT Analyst assesses and analyzes IT systems, identifying areas for improvement, implementing technology solutions, and providing technical support to users and departments.",IT systems analysis Troubleshooting IT support and documentation,$62K-$108K,2 to 15 Years,MCA,Bangkok,Thailand,Full-Time,Henkel AG & Co. KGaA,2022-08-17,IT Analyst,analyst assesses analyzes system identifying area improvement implementing technology solution providing technical support user department,system analysis troubleshooting support documentation,systems analyst,['documentation'],[],['documentation'],1,documentation
Research Analyst,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",$60K-$84K,5 to 11 Years,B.Tech,Yamoussoukro,Cote d'Ivoire,Intern,Aflac,2023-06-10,Social Science Researcher,social science researcher conduct research field sociology psychology anthropology study human behavior social phenomenon contributing academic,social science research method qualitative quantitative data analysis survey design implementation ethnographic research interviewing skill research ethic statistical software stata nvivo report writing communication skill critical thinking empathy,research analyst,"['critical thinking', 'communication', 'data analysis']",[],"['critical thinking', 'communication', 'data analysis']",3,"critical thinking, communication, data analysis"
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$58K-$112K,3 to 8 Years,MBA,Rabat,Morocco,Full-Time,"Etsy, Inc.",2023-03-01,Help Desk Support Specialist,help desk support specialist provide technical assistance support end user resolving issue ensuring smooth operation,technical troubleshooting customer service communication ticketing system usage basic problem solving critical thinking skill,it support specialist,"['critical thinking', 'communication', 'problem solving']",[],"['critical thinking', 'communication', 'problem solving']",3,"critical thinking, communication, problem solving"
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,$58K-$98K,3 to 8 Years,B.Tech,Abuja,Nigeria,Temporary,Dr. Reddy's Laboratories,2022-11-19,SQL Database Developer,sql database developer design implement maintain relational database using sql structured query language write query optimize database performance ensure data integrity security,sql structured query language database design query optimization data modeling database maintenance problem solving skill,database developer,"['data modeling', 'database', 'problem solving', 'sql']","['database', 'sql', 'security']","['database', 'sql', 'data modeling', 'security', 'problem solving']",5,"database, sql, data modeling, security, problem solving"
Business Analyst,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)",$57K-$115K,0 to 8 Years,B.Com,ReykjavÃ­k,Iceland,Part-Time,Bath & Body Works,2021-12-20,Data Business Analyst,data business analyst focus data related project collect analyze data identify trend provide insight support data driven decision making within organization,data analysis data modeling data visualization sql data tool tableau,business analyst,"['data modeling', 'sql', 'tableau', 'data visualization', 'data analysis']",[],"['sql', 'data modeling', 'tableau', 'data visualization', 'data analysis']",5,"sql, data modeling, tableau, data visualization, data analysis"
Civil Engineer,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,$63K-$117K,4 to 12 Years,B.Tech,Nur-Sultan,Kazakhstan,Intern,Gree Electric Appliances,2023-04-22,Water Resources Engineer,water resource engineer manages develops water related project dam irrigation system flood control measure ensure water resource sustainability,water resource engineering hydrology hydraulics environmental impact assessment water resource modeling software watershed management,civil engineer,[],[],[],0,
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$56K-$90K,1 to 15 Years,MCA,Nairobi,Kenya,Temporary,Adani Ports and Special Economic Zone,2022-02-26,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Aerospace Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,$56K-$112K,5 to 13 Years,BA,Maseru,Lesotho,Full-Time,Murphy USA,2023-09-06,Systems Engineer,system engineer design manage complex system infrastructure integrate various component technology ensure optimal system performance reliability,system engineering system architecture integration testing troubleshooting technical documentation configuration management,aerospace engineer,['documentation'],['infrastructure'],"['documentation', 'infrastructure']",2,"documentation, infrastructure"
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,$56K-$87K,2 to 13 Years,MCA,Paramaribo,Suriname,Intern,Merck,2021-12-01,Lighting Designer,lighting designer create lighting plan architectural artistic purpose enhance space lighting effect aesthetic energy efficient lighting solution,lighting design architectural lighting lighting software proficiency creative lighting concept technical,electrical designer,[],[],[],0,
Electrical Designer,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.",PCB design Electronics PCB layout software proficiency Circuit design Quality control,$64K-$103K,1 to 11 Years,BBA,Podgorica,Montenegro,Contract,Dr. Reddy's Laboratories,2022-06-10,PCB Designer,pcb designer specialize designing printed circuit board pcbs create pcb layout ensure proper connectivity consider electrical mechanical,pcb design electronics pcb layout software proficiency circuit design quality control,electrical designer,[],[],[],0,
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$64K-$104K,0 to 11 Years,PhD,Riga,Latvia,Intern,Delta Air Lines,2022-01-12,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Mechanical Designer,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),$60K-$116K,2 to 11 Years,BCA,Madrid,Spain,Intern,Campbell Soup,2022-09-01,CAD Technician,create modify technical drawing using computer aided design cad software various engineering project,computer aided design cad software technical drawing blueprint interpretation drafting standard engineering principle collaboration engineer problem solving attention detail communication skill modeling applicable,mechanical designer,"['collaboration', 'communication', 'problem solving']",[],"['collaboration', 'communication', 'problem solving']",3,"collaboration, communication, problem solving"
Software Tester,A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification",$59K-$82K,2 to 8 Years,BA,Tunis,Tunisia,Temporary,S&P Global,2023-07-04,Performance Tester,performance tester assesses performance scalability software application conduct load stress testing identify bottleneck optimize performance,performance testing methodology load testing tool jmeter test script development performance profiling analysis bottleneck identification,software tester,[],[],[],0,
Architectural Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",$59K-$83K,2 to 10 Years,MCA,Rabat,Morocco,Full-Time,M&T Bank,2023-05-04,Interior Designer,interior designer plan design interior space meet functional aesthetic need client select furniture color material layout create visually appealing functional interior home business,interior design space planning color theory material selection cad software sketchup client collaboration budget management,architectural designer,"['collaboration', 'budget management']",[],"['collaboration', 'budget management']",2,"collaboration, budget management"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$57K-$93K,3 to 8 Years,BA,Panama City,Panama,Part-Time,Segro,2023-03-26,User Interface Designer,user interface designer focus visual interactive aspect digital interface design layout button element ensure cohesive visually appealing user interface,design principle best practice graphic design tool adobe photoshop illustrator typography color theory visual design layout responsive design,ux/ui designer,"['illustrator', 'graphic design', 'adobe', 'photoshop']",['user interface'],"['graphic design', 'user interface', 'photoshop', 'adobe', 'illustrator']",5,"graphic design, user interface, photoshop, adobe, illustrator"
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",$61K-$115K,4 to 15 Years,B.Tech,Majuro,Marshall Islands,Part-Time,Sonic Healthcare,2023-03-27,Frontend Developer,frontend developer responsible designing implementing user interface web application collaborate designer create visually appealing responsive web page ensuring seamless user across different device browser,proficiency html cs javascript frontend framework like react angular vue responsive web design cross browser compatibility version control git frontend performance optimization,software engineer,"['frontend', 'javascript', 'git', 'vue', 'angular', 'react', 'html']","['frontend', 'user interface']","['frontend', 'javascript', 'user interface', 'git', 'vue', 'angular', 'react', 'html']",8,"frontend, javascript, user interface, git, vue, angular, react, html"
UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,$58K-$80K,0 to 9 Years,B.Tech,Bissau,Guinea-Bissau,Full-Time,Lupin Limited,2022-02-18,UX/UI Designer,designer focus enhancing user experience designing intuitive interface consider user need preference create visually appealing functional design,user design user interface design wireframing prototyping usability testing design tool like sketch figma,ui developer,"['figma', 'wireframing', 'user interface', 'sketch', 'prototyping']",['user experience'],"['figma', 'wireframing', 'user interface', 'user experience', 'sketch', 'prototyping']",6,"figma, wireframing, user interface, user experience, sketch, prototyping"
Interior Designer,"A Residential Interior Designer plans and designs interior spaces in homes. They select furnishings, colors, and layouts to create functional and aesthetically pleasing environments.",Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering,$59K-$122K,1 to 14 Years,M.Com,San Salvador,El Salvador,Part-Time,Gap,2021-11-03,Residential Interior Designer,residential interior designer plan design interior space home select furnishing color layout create functional aesthetically pleasing environment,residential interior design space planning color theory selection furniture material selection modeling rendering,interior designer,[],[],[],0,
Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,$65K-$124K,1 to 12 Years,B.Tech,Sofia,Bulgaria,Contract,Sky plc,2022-09-27,Market Researcher,market researcher gather analyzes market data provide insight consumer behavior market trend competitor activity aiding informed business decision,market research methodology data collection analysis industry,market research analyst,[],[],[],0,
IT Support Specialist,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.",Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills,$63K-$116K,3 to 10 Years,M.Com,AsunciÃ³n,Paraguay,Full-Time,Entergy,2021-10-07,IT Systems Administrator,system administrator manage maintain organization infrastructure including server network security system,network administration system server maintenance cybersecurity backup recovery project management skill,it support specialist,"['cybersecurity', 'network administration', 'project management']","['infrastructure', 'security', 'network security']","['network administration', 'cybersecurity', 'infrastructure', 'project management', 'network security', 'security']",6,"network administration, cybersecurity, infrastructure, project management, network security, security"
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$62K-$111K,1 to 15 Years,B.Tech,Pristina,Kosovo,Contract,Boston Scientific,2022-04-15,Backend Developer,backend developer tasked building maintaining server side logic database infrastructure web application work core functionality data storage server communication ensure application run smoothly efficiently,proficiency one backend programming language java python node ruby api development database management sql nosql server management deployment security best practice web framework express django,software engineer,"['backend', 'ruby', 'database', 'security', 'sql', 'java', 'nosql', 'express', 'django', 'python', 'node']","['communication', 'infrastructure', 'backend', 'database']","['backend', 'communication', 'ruby', 'infrastructure', 'database', 'sql', 'django', 'java', 'nosql', 'express', 'security', 'python', 'node']",13,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node"
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$59K-$93K,0 to 14 Years,B.Tech,Tegucigalpa,Honduras,Temporary,Brambles Limited,2023-09-07,Interaction Designer,interaction designer specialize designing user interaction within digital interface create meaningful engaging user experience considering user behavior system response,interaction design principle user behavior psychology wireframing prototyping tool animation micro interaction design collaborative design process,ux/ui designer,"['prototyping', 'wireframing']",['user experience'],"['prototyping', 'wireframing', 'user experience']",3,"prototyping, wireframing, user experience"
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$65K-$93K,1 to 11 Years,MCA,Accra,Ghana,Part-Time,NetEase,2023-03-01,Data Analyst,analyze data set generate insight provide data driven recommendation inform business decision,data analysis tool sql python data visualization tool tableau power statistical analysis data cleansing transformation data modeling communication data insight problem solving attention detail business acumen,marketing analyst,"['communication', 'data modeling', 'sql', 'tableau', 'problem solving', 'data visualization', 'data analysis', 'python']",[],"['communication', 'sql', 'data modeling', 'python', 'tableau', 'data visualization', 'data analysis', 'problem solving']",8,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving"
Aerospace Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.",Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,$55K-$87K,4 to 12 Years,M.Tech,Podgorica,Montenegro,Intern,ON Semiconductor,2021-11-24,Avionics Engineer,avionics engineer focus aircraft electronic system design maintain avionics system communication navigation instrumentation safe flight operation,avionics system electronic warfare system radar system aircraft communication system system integration testing validation,aerospace engineer,['communication'],['communication'],['communication'],1,communication
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$59K-$114K,0 to 10 Years,MCA,Managua,Nicaragua,Temporary,"Square, Inc.",2022-10-21,Quality Control Analyst,quality control analyst responsible inspecting testing product ensure meet quality standard specification use quality control tool process identify defect document finding recommend improvement essential maintaining product quality customer satisfaction,quality control quality assurance testing method compliance standard root cause analysis documentation statistical analysis,chemical analyst,"['documentation', 'compliance']",[],"['documentation', 'compliance']",2,"documentation, compliance"
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$61K-$86K,5 to 15 Years,M.Tech,Jerusalem,Israel,Contract,Jacobs Solutions,2023-03-20,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Mechanical Engineer,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.",Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,$64K-$98K,4 to 8 Years,BBA,Gitega,Burundi,Part-Time,Prudential Financial,2022-04-15,HVAC Engineer,hvac engineer specialize heating ventilation air conditioning system designing efficient hvac solution building facility,hvac system equipment mechanical engineering skill problem solving ability autocad proficiency hvac design installation expertise,mechanical engineer,['problem solving'],[],['problem solving'],1,problem solving
Graphic Designer,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","User interface (UI) design User experience (UX) design Wireframing and prototyping tools (e.g., Sketch, Figma) Usability testing Information architecture Interaction design Mobile and responsive design",$61K-$127K,2 to 9 Years,PhD,Athens,Greece,Intern,Continental Resources,2022-03-21,UI/UX Designer,designer focus creating user friendly visually appealing interface digital product conduct user research design wireframes prototype collaborate development team ensure seamless enjoyable user,user interface design user design wireframing prototyping tool sketch figma usability testing information architecture interaction design mobile responsive design,graphic designer,"['figma', 'wireframing', 'user interface', 'mobile', 'sketch', 'prototyping']",['user research'],"['figma', 'wireframing', 'user interface', 'mobile', 'sketch', 'prototyping', 'user research']",7,"figma, wireframing, user interface, mobile, sketch, prototyping, user research"
Data Entry Clerk,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",Records management Data entry and retrieval Attention to detail,$58K-$81K,4 to 11 Years,BA,Brazzaville,Republic Of Congo,Contract,Unilever,2022-05-10,Record Keeper,record keeper responsible maintaining accurate record database ensuring data integrity assisting data retrieval needed,record management data entry retrieval attention detail,data entry clerk,[],['database'],['database'],1,database
Architectural Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",$60K-$102K,2 to 14 Years,MCA,Oslo,Norway,Intern,Ovintiv,2021-11-19,Interior Designer,interior designer plan design interior space meet functional aesthetic need client select furniture color material layout create visually appealing functional interior home business,interior design space planning color theory material selection cad software sketchup client collaboration budget management,architectural designer,"['collaboration', 'budget management']",[],"['collaboration', 'budget management']",2,"collaboration, budget management"
Network Security Specialist,"A Security Consultant is responsible for assessing an organizations security infrastructure, identifying vulnerabilities, and recommending solutions to enhance security. They conduct risk assessments, implement security measures, and provide guidance on security policies and procedures.",Security consulting Risk assessment Security audits Security policy development Penetration testing Client communication,$60K-$110K,3 to 9 Years,B.Com,Lima,Peru,Full-Time,Next plc,2022-03-12,Security Consultant,security consultant responsible assessing organization security infrastructure identifying vulnerability recommending solution enhance security conduct risk assessment implement security measure provide guidance security policy procedure,security consulting risk assessment security audit security policy development penetration testing client communication,network security specialist,"['communication', 'penetration testing', 'security']","['infrastructure', 'vulnerability', 'security']","['communication', 'penetration testing', 'infrastructure', 'vulnerability', 'security']",5,"communication, penetration testing, infrastructure, vulnerability, security"
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$55K-$105K,1 to 9 Years,B.Com,Gaborone,Botswana,Intern,PetroChina,2022-07-27,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
